game,date,home,opp,rslt,pa,ab,r,h,2b,3b,hr,rbi,bb,ibb,so,hbp,sh,sf,roe,gdp,sb,cs,ba,obp,slg,ops,lob,numplayers,thr,oppstart,clean_date,game_date_id,team
77,Jun 24,True,OAK,"W,5-1",36,30,5,9,3,0,1,5,4,0,6,1,0,1,0,1,0,1,0.236,0.302,0.385,0.688,7,9,R,L.Medina(35),2024-06-24,1,angels
78,Jun 25,True,OAK,"W,7-5",37,32,7,9,3,0,2,7,4,1,7,1,0,0,0,0,1,1,0.237,0.303,0.388,0.691,6,11,R,M.Spence(33),2024-06-25,1,angels
79,Jun 26,True,OAK,"W,5-2",36,31,5,7,4,0,0,5,3,1,12,2,0,0,0,0,0,0,0.237,0.304,0.387,0.691,7,11,R,J.Estes(61),2024-06-26,1,angels
80,Jun 27,True,DET,"W,5-0",34,32,5,8,1,0,3,5,1,0,11,1,0,0,0,0,2,0,0.237,0.303,0.389,0.693,5,10,R,J.Flaherty(41),2024-06-27,1,angels
81,Jun 28,True,DET,"W,5-2",33,32,5,10,1,0,2,5,1,0,10,0,0,0,0,1,0,1,0.238,0.304,0.391,0.695,4,9,R,K.Maeda(51),2024-06-28,1,angels
82,Jun 29,True,DET,"W,6-5",41,36,6,9,3,0,1,5,4,0,11,0,1,0,0,0,1,0,0.238,0.304,0.391,0.695,8,11,R,R.Olson(60),2024-06-29,1,angels
83,Jun 30,True,DET,"L,6-7",37,33,6,9,1,0,2,5,3,0,8,1,0,0,0,3,1,0,0.238,0.305,0.392,0.697,4,13,R,C.Mize(62),2024-06-30,1,angels
84,Jul 2,False,OAK,"L,5-7",39,35,5,11,2,0,0,5,3,0,9,0,0,1,0,2,1,0,0.239,0.305,0.392,0.697,7,9,R,M.Spence(56),2024-07-02,1,angels
85,Jul 3,False,OAK,"L,0-5",30,29,0,5,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0.239,0.304,0.39,0.694,3,10,R,J.Estes(80),2024-07-03,1,angels
86,Jul 4,False,OAK,"L,0-5",36,31,0,4,0,0,0,0,2,0,11,3,0,0,0,0,2,0,0.237,0.304,0.387,0.691,9,9,L,J.Sears(68),2024-07-04,1,angels
87,Jul 5,False,CHC,"L,1-5",32,30,1,2,0,0,0,1,2,0,7,0,0,0,1,0,0,0,0.236,0.302,0.384,0.686,4,9,L,J.Steele(84),2024-07-05,1,angels
88,Jul 6,False,CHC,"W,7-0",45,37,7,12,1,0,1,5,6,0,3,2,0,0,0,1,3,1,0.237,0.304,0.384,0.688,11,9,R,K.Hendricks(39),2024-07-06,1,angels
89,Jul 7,False,CHC,"L,0-5",33,31,0,3,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0.235,0.302,0.381,0.684,6,11,R,H.Wesneski(72),2024-07-07,1,angels
90,Jul 8,True,TEX,"L,4-9",36,33,4,8,0,1,0,4,3,0,8,0,0,0,0,2,0,0,0.235,0.302,0.381,0.683,5,9,R,J.Gray(46),2024-07-08,1,angels
91,Jul 9,True,TEX,"L,4-5",36,35,4,9,3,0,2,3,1,0,9,0,0,0,0,0,1,0,0.236,0.302,0.382,0.684,5,10,R,M.Scherzer(50),2024-07-09,1,angels
92,Jul 10,True,TEX,"W,7-2",37,30,7,8,1,0,2,6,6,0,8,1,0,0,0,0,0,1,0.236,0.303,0.383,0.686,6,9,R,M.Lorenzen(36),2024-07-10,1,angels
93,Jul 11,True,SEA,"L,0-11",36,31,0,5,1,0,0,0,4,0,8,1,0,0,0,1,0,0,0.235,0.303,0.381,0.684,9,12,R,L.Castillo(67),2024-07-11,1,angels
94,Jul 12,True,SEA,"W,6-5",40,34,6,11,2,0,2,6,5,0,10,1,0,0,0,2,1,0,0.236,0.304,0.383,0.688,8,9,R,B.Woo(25),2024-07-12,1,angels
95,Jul 13,True,SEA,"W,2-1",30,28,2,5,2,0,0,1,2,0,8,0,0,0,0,1,1,0,0.236,0.304,0.382,0.686,4,10,R,G.Kirby(65),2024-07-13,1,angels
96,Jul 14,True,SEA,"W,3-2",29,27,3,3,2,0,1,3,2,0,11,0,0,0,0,0,0,0,0.235,0.303,0.381,0.684,2,10,R,L.Gilbert(82),2024-07-14,1,angels
97,Jul 19,False,OAK,"L,3-13",36,34,3,9,0,0,2,3,2,0,8,0,0,0,0,2,1,0,0.235,0.303,0.382,0.685,6,9,L,J.Sears(45),2024-07-19,1,angels
98,Jul 20,False,OAK,"L,2-8",37,32,2,6,2,0,0,2,4,0,6,0,0,1,1,1,3,0,0.234,0.302,0.381,0.683,8,11,R,M.Spence(50),2024-07-20,1,angels
99,Jul 21,False,OAK,"W,8-5",46,39,8,15,1,0,1,7,4,0,9,2,0,1,0,1,1,1,0.236,0.304,0.382,0.686,11,12,R,J.Estes(47),2024-07-21,1,angels
100,Jul 22,False,SEA,"W,3-1",37,30,3,4,1,0,0,2,4,0,7,2,0,1,0,0,3,0,0.235,0.304,0.38,0.684,7,10,R,B.Miller(76),2024-07-22,1,angels
101,Jul 23,False,SEA,"W,5-1",34,30,5,4,0,0,0,4,2,0,10,1,1,0,1,1,0,1,0.234,0.303,0.378,0.681,2,9,R,L.Gilbert(61),2024-07-23,1,angels
102,Jul 24,False,SEA,"W,2-1",36,34,2,9,0,0,0,2,2,0,13,0,0,0,0,0,1,1,0.235,0.303,0.377,0.68,7,10,R,L.Castillo(67),2024-07-24,1,angels
103,Jul 25,True,OAK,"L,5-6",34,31,5,7,3,0,0,5,2,0,8,0,0,1,0,1,2,0,0.235,0.303,0.376,0.679,2,9,R,R.Stripling(38),2024-07-25,1,angels
104,Jul 26,True,OAK,"L,4-5",37,34,4,8,1,0,2,4,3,0,4,0,0,0,0,0,1,0,0.235,0.303,0.377,0.68,6,9,R,P.Blackburn(42),2024-07-26,1,angels
105,Jul 27,True,OAK,"L,1-3",34,31,1,4,2,0,1,1,3,0,6,0,0,0,0,0,0,0,0.234,0.302,0.376,0.678,6,9,R,M.Spence(63),2024-07-27,1,angels
106,Jul 28,True,OAK,"W,8-6",42,33,8,10,1,0,1,8,7,0,8,2,0,0,0,0,1,1,0.234,0.304,0.376,0.68,10,9,R,O.Bido(23),2024-07-28,1,angels
107,Jul 30,True,COL,"W,10-7",44,37,10,14,4,0,1,10,3,0,9,3,1,0,0,0,3,0,0.236,0.305,0.378,0.684,10,10,R,C.Quantrill(17),2024-07-30,1,angels
108,Jul 31,True,COL,"L,1-2",32,30,1,6,0,0,1,1,1,0,9,0,1,0,0,1,0,1,0.235,0.305,0.378,0.682,4,11,L,K.Freeland(67),2024-07-31,1,angels
109,Aug 1,True,COL,"L,4-5",41,39,4,9,1,0,2,4,2,0,6,0,0,0,0,0,1,0,0.235,0.304,0.378,0.682,8,10,R,R.Feltner(48),2024-08-01,1,angels
110,Aug 2,True,NYM,"L,1-5",33,30,1,6,0,0,0,1,2,0,10,1,0,0,0,2,0,1,0.235,0.304,0.377,0.681,5,10,R,P.Blackburn(60),2024-08-02,1,angels
111,Aug 3,True,NYM,"W,5-4",36,33,5,9,1,0,1,5,3,0,7,0,0,0,0,0,0,0,0.235,0.304,0.377,0.681,7,10,L,D.Peterson(57),2024-08-03,1,angels
112,Aug 4,True,NYM,"W,3-2",32,25,3,4,1,1,0,2,4,0,10,1,0,2,0,1,1,0,0.235,0.304,0.376,0.68,5,11,L,J.Quintana(49),2024-08-04,1,angels
113,Aug 7 (1),False,NYY,"L,2-5",39,32,2,5,1,0,1,2,7,0,10,0,0,0,0,0,0,0,0.234,0.304,0.375,0.68,10,9,R,L.Gil(64),2024-08-07,1,angels
114,Aug 7 (2),False,NYY,"W,8-2",41,38,8,13,3,0,1,8,3,0,10,0,0,0,0,0,0,1,0.235,0.305,0.377,0.682,6,9,R,W.Warren(18),2024-08-07,2,angels
115,Aug 8,False,NYY,"W,9-4",43,38,9,14,4,0,1,9,2,0,5,3,0,0,0,2,0,0,0.237,0.306,0.378,0.685,7,9,L,N.Cortés(23),2024-08-08,1,angels
116,Aug 9,False,WSN,"L,2-3",42,41,2,10,0,0,1,2,1,0,10,0,0,0,1,0,1,1,0.237,0.306,0.378,0.684,11,10,L,M.Parker(58),2024-08-09,1,angels
117,Aug 10,False,WSN,"L,4-5",43,38,4,11,2,0,1,4,4,0,5,0,0,1,0,1,1,0,0.237,0.306,0.378,0.685,10,9,L,P.Corbin(29),2024-08-10,1,angels
118,Aug 11,False,WSN,"W,6-4",47,34,6,9,2,0,0,4,13,0,5,0,0,0,0,3,1,0,0.238,0.308,0.378,0.686,14,9,L,M.Gore(38),2024-08-11,1,angels
119,Aug 12,True,TOR,"L,2-4",30,29,2,2,0,0,2,2,1,0,8,0,0,0,0,0,0,0,0.236,0.307,0.377,0.684,1,11,R,B.Francis(79),2024-08-12,1,angels
120,Aug 13,True,TOR,"L,1-6",35,32,1,7,1,0,1,1,3,0,10,0,0,0,0,1,1,0,0.236,0.307,0.377,0.683,7,9,R,K.Gausman(68),2024-08-13,1,angels
121,Aug 14,True,TOR,"L,2-9",33,27,2,3,1,0,1,2,3,0,6,2,0,1,1,3,0,0,0.235,0.306,0.376,0.682,4,9,R,J.Berríos(73),2024-08-14,1,angels
122,Aug 16,True,ATL,"W,3-2",33,30,3,6,4,0,1,3,2,0,13,1,0,0,0,0,0,0,0.235,0.306,0.376,0.682,6,11,R,S.Schwellenbach(53),2024-08-16,1,angels
123,Aug 17,True,ATL,"L,3-11",39,37,3,11,3,0,0,2,2,0,15,0,0,0,1,1,0,0,0.236,0.306,0.376,0.682,9,9,L,C.Sale(60),2024-08-17,1,angels
124,Aug 18,True,ATL,"L,1-3",33,29,1,3,0,0,0,1,2,0,14,2,0,0,0,1,0,0,0.235,0.305,0.374,0.68,5,11,R,C.Morton(65),2024-08-18,1,angels
125,Aug 19,False,KCR,"L,3-5",35,32,3,6,4,0,1,3,3,0,10,0,0,0,0,1,0,0,0.234,0.305,0.375,0.68,5,10,R,S.Lugo(66),2024-08-19,1,angels
126,Aug 20,False,KCR,"W,9-5",47,35,9,11,3,1,1,9,7,1,13,2,1,2,2,2,0,0,0.235,0.306,0.376,0.682,11,9,L,C.Ragans(49),2024-08-20,1,angels
127,Aug 21,False,KCR,"L,0-3",34,30,0,4,0,0,0,0,3,0,8,1,0,0,0,1,0,0,0.234,0.306,0.374,0.68,7,9,R,M.Lorenzen(72),2024-08-21,1,angels
128,Aug 22,False,TOR,"L,3-5",36,33,3,9,1,0,1,3,2,0,10,1,0,0,0,2,0,1,0.235,0.306,0.374,0.68,6,10,R,R.Burr(50),2024-08-22,1,angels
129,Aug 23,False,TOR,"L,4-5",34,31,4,6,2,0,0,4,2,0,11,1,0,0,0,0,3,1,0.234,0.306,0.374,0.679,3,9,R,C.Bassitt(52),2024-08-23,1,angels
