game,date,home,opp,rslt,pa,ab,r,h,2b,3b,hr,rbi,bb,ibb,so,hbp,sh,sf,roe,gdp,sb,cs,ba,obp,slg,ops,lob,numplayers,thr,oppstart,clean_date,game_date_id,team
138,Sep 3,True,WSN,"L,2-6",37,33,2,8,3,0,0,2,4,0,13,0,0,0,0,2,1,0,0.241,0.296,0.373,0.669,8,11,L,P.Corbin(52),2024-09-03,1,marlins
139,Sep 4,True,WSN,"W,4-3",37,35,4,7,2,0,0,4,2,0,13,0,0,0,0,0,0,0,0.24,0.296,0.372,0.668,6,11,L,M.Gore(74),2024-09-04,1,marlins
140,Sep 5,True,PHI,"L,2-5",36,34,2,7,2,0,0,1,2,0,9,0,0,0,1,0,0,0,0.24,0.296,0.371,0.667,7,11,L,R.Suárez(63),2024-09-05,1,marlins
141,Sep 6,True,PHI,"L,2-16",36,32,2,5,1,0,0,2,3,0,13,1,0,0,0,0,0,0,0.239,0.295,0.37,0.666,7,12,R,Z.Wheeler(70),2024-09-06,1,marlins
142,Sep 7,True,PHI,"W,9-5",43,39,9,14,3,0,3,7,4,0,9,0,0,0,0,0,3,0,0.24,0.296,0.373,0.669,10,11,R,A.Nola(31),2024-09-07,1,marlins
143,Sep 8,True,PHI,"W,10-1",36,31,10,11,2,0,2,10,4,0,4,0,0,1,0,3,1,0,0.241,0.297,0.374,0.671,2,11,R,S.Johnson(2),2024-09-08,1,marlins
144,Sep 9,False,PIT,"L,2-3",36,34,2,8,2,0,0,2,2,0,14,0,0,0,1,2,0,0,0.241,0.297,0.374,0.671,7,11,R,P.Skenes(64),2024-09-09,1,marlins
145,Sep 10,False,PIT,"L,4-6",40,35,4,9,2,0,0,4,4,0,9,0,0,1,0,0,0,0,0.241,0.297,0.373,0.67,9,10,R,C.Mlodzinski(57),2024-09-10,1,marlins
146,Sep 11,False,PIT,"L,1-3",35,31,1,6,1,0,0,1,3,0,7,1,0,0,0,1,1,0,0.241,0.297,0.372,0.669,7,12,L,B.Falter(76),2024-09-11,1,marlins
147,Sep 12,False,WSN,"W,6-3",38,33,6,8,1,0,0,5,1,0,6,1,1,2,1,1,1,0,0.241,0.297,0.372,0.669,5,11,L,M.Parker(68),2024-09-12,1,marlins
148,Sep 13,False,WSN,"L,1-4",35,34,1,8,0,0,1,1,1,0,6,0,0,0,0,1,0,0,0.241,0.297,0.371,0.668,7,12,L,D.Herz(59),2024-09-13,1,marlins
149,Sep 14,False,WSN,"L,1-4",33,32,1,6,2,0,0,1,1,0,11,0,0,0,1,1,1,1,0.241,0.296,0.37,0.667,5,11,L,P.Corbin(67),2024-09-14,1,marlins
150,Sep 15,False,WSN,"L,3-4",35,32,3,6,0,0,1,3,2,0,9,0,0,1,2,1,1,1,0.24,0.296,0.37,0.666,5,13,L,M.Gore(69),2024-09-15,1,marlins
151,Sep 17,True,LAD,"W,11-9",42,38,11,15,5,1,2,11,4,0,7,0,0,0,0,0,1,1,0.241,0.297,0.373,0.67,7,10,R,B.Miller(27),2024-09-17,1,marlins
152,Sep 18,True,LAD,"L,4-8",37,32,4,8,2,0,0,4,3,0,7,0,0,2,1,1,3,0,0.241,0.297,0.372,0.669,6,10,R,L.Knack(68),2024-09-18,1,marlins
153,Sep 19,True,LAD,"L,4-20",39,36,4,9,1,0,3,4,3,0,10,0,0,0,0,0,1,0,0.242,0.297,0.373,0.67,8,14,R,J.Flaherty(53),2024-09-19,1,marlins
154,Sep 20,True,ATL,"W,4-3",35,29,4,8,2,0,0,3,5,1,8,0,0,1,0,2,1,0,0.242,0.297,0.373,0.671,7,11,R,C.Morton(41),2024-09-20,1,marlins
155,Sep 21,True,ATL,"L,2-6",35,33,2,6,0,1,0,1,2,0,10,0,0,0,0,0,0,0,0.241,0.297,0.372,0.669,6,11,L,M.Fried(61),2024-09-21,1,marlins
156,Sep 22,True,ATL,"L,4-5",38,37,4,9,1,0,4,4,1,0,13,0,0,0,0,0,0,0,0.241,0.297,0.374,0.671,7,12,R,G.Holmes(52),2024-09-22,1,marlins
157,Sep 24,False,MIN,"W,4-1",41,34,4,10,2,0,1,4,6,0,9,1,0,0,0,1,0,2,0.242,0.298,0.374,0.672,10,10,R,B.Ober(40),2024-09-24,1,marlins
1,Mar 28,True,NYY,"L,4-5",40,38,4,13,1,0,1,4,2,0,7,0,0,0,0,1,0,0,0.342,0.375,0.447,0.822,9,11,L,N.Cortés(44),2024-03-28,1,astros
2,Mar 29,True,NYY,"L,1-7",39,33,1,7,1,0,0,1,6,0,6,0,0,0,0,0,3,0,0.282,0.354,0.352,0.707,11,9,L,C.Rodón(50),2024-03-29,1,astros
3,Mar 30,True,NYY,"L,3-5",35,31,3,4,2,0,0,2,2,0,6,2,0,0,1,1,0,0,0.235,0.316,0.304,0.62,5,9,R,M.Stroman(60),2024-03-30,1,astros
4,Mar 31,True,NYY,"L,3-4",39,37,3,12,2,0,1,3,2,0,8,0,0,0,0,1,0,1,0.259,0.327,0.345,0.672,9,12,R,C.Schmidt(47),2024-03-31,1,astros
5,Apr 1,True,TOR,"W,10-0",38,35,10,12,2,0,5,10,3,0,8,0,0,0,0,1,0,0,0.276,0.34,0.443,0.783,4,11,R,B.Francis(26),2024-04-01,1,astros
6,Apr 2,True,TOR,"L,1-2",34,29,1,8,2,0,1,1,4,0,4,0,0,0,0,2,0,2,0.276,0.344,0.443,0.787,6,10,R,J.Berríos(55),2024-04-02,1,astros
7,Apr 3,True,TOR,"W,8-0",42,38,8,15,2,0,4,8,4,0,7,0,0,0,0,1,0,0,0.295,0.361,0.494,0.855,10,11,R,C.Bassitt(29),2024-04-03,1,astros
8,Apr 5,False,TEX,"L,2-10",32,31,2,3,0,0,1,2,1,0,5,0,0,0,1,0,0,0,0.272,0.336,0.46,0.795,3,12,L,C.Bradford(75),2024-04-05,1,astros
9,Apr 6,False,TEX,"L,2-7",39,35,2,8,2,0,0,0,4,0,7,0,0,0,1,0,0,0,0.267,0.332,0.44,0.772,10,10,R,J.Gray(47),2024-04-06,1,astros
10,Apr 7,False,TEX,"W,3-1",35,31,3,4,0,0,1,3,4,0,10,0,0,0,0,0,1,0,0.254,0.323,0.42,0.743,5,10,R,D.Dunning(58),2024-04-07,1,astros
11,Apr 8,False,TEX,"W,10-5",41,37,10,11,2,0,2,10,3,0,8,1,0,0,0,1,0,0,0.259,0.327,0.429,0.756,4,10,L,A.Heaney(28),2024-04-08,1,astros
12,Apr 9,False,KCR,"L,3-4",45,44,3,13,2,0,0,3,1,0,10,0,0,0,0,0,1,0,0.263,0.325,0.42,0.745,13,12,L,C.Ragans(39),2024-04-09,1,astros
13,Apr 10,False,KCR,"L,2-11",39,35,2,9,4,0,0,2,3,0,4,0,0,1,0,1,0,0,0.262,0.324,0.416,0.74,10,12,R,S.Lugo(50),2024-04-10,1,astros
14,Apr 11,False,KCR,"L,3-13",43,38,3,11,3,0,1,3,5,0,6,0,0,0,1,1,0,0,0.264,0.328,0.419,0.746,13,10,R,B.Singer(55),2024-04-11,1,astros
15,Apr 12,True,TEX,"L,8-12",43,37,8,11,2,0,2,8,4,0,8,2,0,0,0,1,0,0,0.267,0.333,0.425,0.758,8,9,R,D.Dunning(46),2024-04-12,1,astros
16,Apr 13,True,TEX,"W,9-2",46,37,9,14,5,0,0,9,7,2,2,1,0,1,0,0,0,0,0.274,0.343,0.431,0.774,13,11,L,A.Heaney(42),2024-04-13,1,astros
17,Apr 14,True,TEX,"W,8-5",38,33,8,10,4,0,2,8,5,0,4,0,0,0,0,0,1,0,0.275,0.346,0.441,0.787,6,10,R,N.Eovaldi(37),2024-04-14,1,astros
18,Apr 15,True,ATL,"L,1-6",36,32,1,7,0,0,0,1,4,0,7,0,0,0,0,1,2,1,0.273,0.344,0.429,0.774,8,9,R,D.Vines(53),2024-04-15,1,astros
19,Apr 16,True,ATL,"L,2-6",36,34,2,7,3,0,1,2,2,0,10,0,0,0,0,0,0,0,0.269,0.34,0.427,0.767,7,11,R,R.López(70),2024-04-16,1,astros
20,Apr 17,True,ATL,"L,4-5",42,36,4,9,1,0,2,4,6,0,7,0,0,0,0,3,1,0,0.268,0.341,0.428,0.769,9,11,L,M.Fried(39),2024-04-17,1,astros
21,Apr 19,False,WSN,"W,5-3",40,37,5,13,3,0,0,5,2,0,5,0,0,1,0,1,5,0,0.272,0.342,0.428,0.77,8,9,L,M.Gore(39),2024-04-19,1,astros
22,Apr 20,False,WSN,"L,4-5",39,36,4,10,0,0,0,4,2,0,6,0,0,1,0,1,1,0,0.273,0.341,0.421,0.762,6,9,R,T.Williams(66),2024-04-20,1,astros
23,Apr 21,False,WSN,"L,0-6",31,31,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.267,0.333,0.41,0.743,4,9,L,M.Parker(79),2024-04-21,1,astros
24,Apr 23,False,CHC,"L,2-7",34,33,2,6,2,0,1,2,1,0,5,0,0,0,0,0,0,0,0.264,0.329,0.407,0.736,5,9,L,J.Wicks(58),2024-04-23,1,astros
25,Apr 24,False,CHC,"L,3-4",40,36,3,10,1,0,1,2,2,0,7,1,1,0,1,0,1,0,0.264,0.329,0.406,0.735,10,11,R,J.Taillon(51),2024-04-24,1,astros
26,Apr 25,False,CHC,"L,1-3",34,30,1,4,0,0,0,1,3,0,6,0,0,1,0,0,0,0,0.26,0.325,0.397,0.722,6,10,R,J.Assad(61),2024-04-25,1,astros
27,Apr 27,False,COL,"W,12-4",46,40,12,15,2,1,3,11,5,0,4,1,0,0,0,1,0,0,0.265,0.33,0.41,0.74,7,12,R,C.Quantrill(31),2024-04-27,1,astros
28,Apr 28,False,COL,"W,8-2",37,33,8,8,1,0,3,8,2,0,2,1,0,1,0,1,1,0,0.264,0.329,0.415,0.744,2,11,L,A.Gomber(51),2024-04-28,1,astros
29,Apr 30,True,CLE,"W,10-9",45,41,10,12,1,0,3,10,3,0,9,1,0,0,0,1,0,0,0.265,0.33,0.419,0.75,7,11,R,C.Carrasco(19),2024-04-30,1,astros
30,May 1,True,CLE,"L,2-3",36,35,2,7,2,0,1,2,1,0,7,0,0,0,0,1,0,0,0.263,0.327,0.417,0.744,5,11,R,T.McKenzie(64),2024-05-01,1,astros
31,May 2,True,CLE,"W,8-2",39,33,8,10,0,2,1,7,3,0,9,2,0,1,0,0,4,0,0.264,0.329,0.42,0.749,7,9,L,L.Allen(49),2024-05-02,1,astros
32,May 3,True,SEA,"W,5-3",36,30,5,7,1,0,0,4,5,0,5,0,0,1,0,0,1,0,0.263,0.329,0.416,0.745,7,10,R,G.Kirby(63),2024-05-03,1,astros
33,May 4,True,SEA,"L,0-5",31,27,0,3,0,0,0,0,4,0,7,0,0,0,0,3,0,0,0.26,0.326,0.409,0.735,4,9,R,L.Gilbert(80),2024-05-04,1,astros
34,May 5,True,SEA,"L,4-5",37,34,4,8,0,0,2,4,2,1,5,1,0,0,0,1,1,0,0.259,0.326,0.409,0.734,6,11,R,B.Miller(46),2024-05-05,1,astros
35,May 7,False,NYY,"L,3-10",36,30,3,3,0,0,1,3,6,0,5,0,0,0,1,1,0,0,0.255,0.324,0.403,0.727,6,12,R,L.Gil(67),2024-05-07,1,astros
36,May 8,False,NYY,"L,4-9",39,38,4,11,2,1,2,4,0,0,8,1,0,0,0,0,0,0,0.256,0.323,0.408,0.731,8,9,L,C.Rodón(58),2024-05-08,1,astros
37,May 9,False,NYY,"W,4-3",39,36,4,11,2,0,2,4,3,0,10,0,0,0,0,1,3,0,0.258,0.324,0.411,0.736,8,9,R,M.Stroman(38),2024-05-09,1,astros
38,May 10,False,DET,"W,5-2",38,33,5,8,1,0,1,5,4,0,3,0,0,1,0,2,0,0,0.257,0.324,0.41,0.734,6,9,R,C.Mize(58),2024-05-10,1,astros
39,May 11,False,DET,"L,2-8",37,34,2,8,2,0,0,2,2,0,9,1,0,0,0,1,0,0,0.257,0.323,0.407,0.731,8,10,L,T.Skubal(56),2024-05-11,1,astros
40,May 12,False,DET,"W,9-3",45,42,9,18,2,0,1,8,3,0,7,0,0,0,0,2,0,1,0.262,0.327,0.412,0.739,9,11,R,J.Flaherty(55),2024-05-12,1,astros
41,May 13,True,OAK,"W,9-2",37,32,9,10,3,0,2,8,4,1,3,1,0,0,1,3,1,0,0.263,0.329,0.416,0.745,4,11,R,R.Stripling(48),2024-05-13,1,astros
42,May 14,True,OAK,"W,2-1",36,34,2,6,3,0,1,2,2,0,11,0,0,0,0,0,0,0,0.261,0.327,0.414,0.741,7,11,L,J.Sears(54),2024-05-14,1,astros
43,May 15,True,OAK,"W,3-0",32,29,3,8,1,0,0,2,1,0,5,0,0,2,0,1,0,0,0.261,0.326,0.412,0.738,5,9,R,A.Brooks(55),2024-05-15,1,astros
44,May 16,True,OAK,"W,8-1",38,30,8,8,3,0,1,7,6,0,8,1,0,1,0,1,0,0,0.261,0.328,0.413,0.741,6,12,R,J.Estes(13),2024-05-16,1,astros
45,May 17,True,MIL,"W,5-4",35,32,5,10,1,0,2,5,2,0,9,1,0,0,0,1,0,0,0.262,0.328,0.416,0.744,6,10,R,F.Peralta(36),2024-05-17,1,astros
46,May 18,True,MIL,"L,2-4",36,34,2,8,1,0,1,2,2,0,9,0,0,0,0,0,1,0,0.262,0.327,0.414,0.742,7,10,R,B.Wilson(48),2024-05-18,1,astros
47,May 19,True,MIL,"W,9-4",44,36,9,14,3,0,3,9,6,0,10,1,1,0,0,1,1,0,0.265,0.331,0.421,0.752,11,9,R,C.Rea(28),2024-05-19,1,astros
48,May 20,True,LAA,"L,7-9",40,36,7,10,2,0,2,7,4,0,5,0,0,0,0,1,3,0,0.265,0.332,0.423,0.755,6,10,L,R.Detmers(24),2024-05-20,1,astros
49,May 21,True,LAA,"W,6-5",41,36,6,10,2,0,4,6,5,1,6,0,0,0,0,2,0,0,0.265,0.332,0.428,0.761,8,11,R,G.Canning(48),2024-05-21,1,astros
50,May 22,True,LAA,"L,1-2",34,32,1,6,4,0,0,1,2,0,6,0,0,0,0,0,0,0,0.264,0.331,0.426,0.757,6,9,L,T.Anderson(68),2024-05-22,1,astros
51,May 24,False,OAK,"W,6-3",40,38,6,12,1,0,1,6,2,0,4,0,0,0,0,0,0,1,0.265,0.331,0.426,0.757,7,9,R,R.Stripling(24),2024-05-24,1,astros
52,May 25,False,OAK,"L,1-3",33,30,1,4,0,0,0,1,1,0,6,1,0,1,1,1,1,0,0.263,0.329,0.421,0.75,5,10,L,J.Sears(66),2024-05-25,1,astros
53,May 26,False,OAK,"W,5-2",41,35,5,11,1,0,1,5,5,0,5,0,0,1,0,3,1,0,0.264,0.33,0.421,0.751,9,9,R,A.Brooks(31),2024-05-26,1,astros
54,May 27,False,SEA,"L,2-3",34,31,2,6,1,0,0,2,2,0,9,0,0,1,0,1,0,0,0.263,0.328,0.418,0.746,5,9,R,B.Miller(58),2024-05-27,1,astros
55,May 28,False,SEA,"L,2-4",34,32,2,5,0,0,1,2,2,0,10,0,0,0,0,0,1,0,0.261,0.326,0.415,0.741,5,9,R,L.Castillo(59),2024-05-28,1,astros
56,May 29,False,SEA,"L,1-2",37,37,1,7,0,0,0,1,0,0,14,0,0,0,0,0,2,0,0.259,0.324,0.411,0.735,7,11,R,G.Kirby(64),2024-05-29,1,astros
57,May 30,False,SEA,"W,4-0",36,35,4,9,1,1,2,4,1,0,5,0,0,0,0,0,0,1,0.259,0.323,0.412,0.736,5,10,R,L.Gilbert(44),2024-05-30,1,astros
58,May 31,True,MIN,"L,1-6",34,33,1,6,0,0,1,1,1,0,7,0,0,0,0,0,0,0,0.258,0.321,0.41,0.732,6,9,R,P.López(66),2024-05-31,1,astros
59,Jun 1,True,MIN,"W,5-2",34,31,5,10,1,0,4,5,3,0,5,0,0,0,0,1,0,2,0.259,0.322,0.415,0.738,5,9,R,J.Ryan(33),2024-06-01,1,astros
60,Jun 2,True,MIN,"L,3-4",36,33,3,6,0,0,2,3,3,0,8,0,0,0,0,0,2,0,0.258,0.321,0.414,0.736,6,11,R,S.Woods Richardson(49),2024-06-02,1,astros
61,Jun 3,True,STL,"W,7-4",38,34,7,9,2,0,3,7,3,0,11,0,1,0,2,0,3,0,0.258,0.321,0.417,0.738,7,11,R,K.Gibson(52),2024-06-03,1,astros
62,Jun 4,True,STL,"W,8-5",39,33,8,10,1,0,1,8,3,0,5,1,0,2,1,0,0,1,0.259,0.322,0.417,0.739,7,10,R,A.Pallante(21),2024-06-04,1,astros
63,Jun 5,True,STL,"L,2-4",32,31,2,5,0,0,2,2,1,0,7,0,0,0,0,1,0,0,0.257,0.32,0.416,0.736,3,9,R,M.Mikolas(57),2024-06-05,1,astros
64,Jun 7,False,LAA,"W,7-1",41,38,7,11,1,0,2,7,3,0,4,0,0,0,0,0,0,0,0.258,0.32,0.417,0.738,7,10,R,G.Canning(47),2024-06-07,1,astros
65,Jun 8,False,LAA,"W,6-1",39,37,6,11,2,1,1,6,1,0,8,1,0,0,0,0,1,0,0.258,0.321,0.419,0.739,6,9,L,T.Anderson(44),2024-06-08,1,astros
66,Jun 9,False,LAA,"L,7-9",42,38,7,14,4,0,1,7,3,1,6,1,0,0,0,3,1,0,0.26,0.322,0.421,0.743,8,10,L,P.Sandoval(34),2024-06-09,1,astros
67,Jun 10,False,SFG,"L,3-4",40,37,3,9,1,1,0,3,1,0,6,0,0,2,1,1,2,0,0.26,0.321,0.419,0.741,8,12,L,K.Harrison(64),2024-06-10,1,astros
68,Jun 11,False,SFG,"W,3-1",34,33,3,7,2,0,0,2,1,0,10,0,0,0,0,1,0,0,0.259,0.32,0.417,0.737,4,9,R,J.Hicks(46),2024-06-11,1,astros
69,Jun 12,False,SFG,"L,3-5",33,33,3,9,1,0,1,3,0,0,7,0,0,0,0,2,0,0,0.259,0.32,0.417,0.736,3,9,R,L.Webb(51),2024-06-12,1,astros
70,Jun 14,True,DET,"W,4-0",31,28,4,6,2,1,1,4,1,0,4,1,0,1,0,0,1,1,0.259,0.319,0.417,0.736,3,10,L,T.Skubal(46),2024-06-14,1,astros
71,Jun 15,True,DET,"L,5-13",38,36,5,10,4,1,1,5,2,0,9,0,0,0,0,1,0,0,0.259,0.319,0.419,0.738,6,13,R,J.Flaherty(66),2024-06-15,1,astros
72,Jun 16,True,DET,"W,4-1",30,27,4,5,0,0,1,4,3,0,3,0,0,0,0,2,1,0,0.258,0.318,0.418,0.736,2,10,R,K.Maeda(40),2024-06-16,1,astros
73,Jun 18,False,CHW,"L,0-2",34,33,0,7,1,0,0,0,1,0,4,0,0,0,0,0,0,1,0.258,0.317,0.415,0.733,7,9,R,J.Cannon(73),2024-06-18,1,astros
74,Jun 19,False,CHW,"W,4-1",40,36,4,12,4,0,0,4,2,0,9,0,1,1,0,0,0,1,0.259,0.318,0.416,0.734,9,11,L,G.Crochet(49),2024-06-19,1,astros
75,Jun 20,False,CHW,"W,5-3",43,38,5,11,1,0,1,4,5,0,12,0,0,0,2,2,2,0,0.259,0.319,0.415,0.734,11,11,R,C.Flexen(61),2024-06-20,1,astros
76,Jun 21,True,BAL,"W,14-11",43,39,14,14,6,0,1,12,4,0,10,0,0,0,1,1,0,0,0.261,0.32,0.418,0.738,5,10,R,G.Rodriguez(27),2024-06-21,1,astros
77,Jun 22,True,BAL,"W,5-1",30,29,5,6,1,1,3,5,0,0,5,0,0,1,0,0,1,0,0.26,0.319,0.42,0.739,1,9,R,C.Burnes(56),2024-06-22,1,astros
78,Jun 23,True,BAL,"W,8-1",41,35,8,15,4,0,1,8,3,1,5,0,1,2,0,1,1,0,0.262,0.321,0.423,0.744,9,10,R,A.Suárez(27),2024-06-23,1,astros
79,Jun 25,True,COL,"W,5-2",35,33,5,9,1,0,0,5,2,0,4,0,0,0,0,0,2,0,0.263,0.321,0.422,0.742,6,9,L,A.Gomber(36),2024-06-25,1,astros
80,Jun 26,True,COL,"W,7-1",38,34,7,10,3,0,0,6,1,0,5,2,0,1,1,1,3,1,0.263,0.321,0.421,0.742,7,11,R,R.Feltner(49),2024-06-26,1,astros
81,Jun 28,False,NYM,"L,2-7",43,38,2,12,4,0,1,2,4,0,10,1,0,0,0,1,1,0,0.264,0.322,0.422,0.744,14,11,L,J.Quintana(46),2024-06-28,1,astros
82,Jun 29,False,NYM,"W,9-6",45,36,9,10,2,0,1,8,7,0,10,1,1,0,0,0,0,0,0.264,0.323,0.422,0.745,9,14,R,T.Megill(45),2024-06-29,1,astros
83,Jun 30,False,NYM,"W,10-5",46,44,10,15,4,0,1,10,2,1,5,0,0,0,0,1,0,2,0.265,0.324,0.423,0.747,5,11,R,L.Severino(47),2024-06-30,1,astros
84,Jul 1,False,TOR,"W,3-1",32,30,3,4,1,0,2,3,2,0,9,0,0,0,0,1,0,0,0.264,0.322,0.423,0.745,2,9,R,Y.Rodríguez(70),2024-07-01,1,astros
85,Jul 2,False,TOR,"L,6-7",37,34,6,8,1,0,1,6,2,0,6,1,0,0,0,1,0,0,0.263,0.322,0.422,0.744,4,10,R,J.Berríos(36),2024-07-02,1,astros
86,Jul 3,False,TOR,"W,9-2",46,39,9,11,5,0,1,9,5,1,7,2,0,0,1,0,0,0,0.264,0.323,0.423,0.746,10,10,L,Y.Kikuchi(54),2024-07-03,1,astros
87,Jul 4,False,TOR,"W,5-3",42,35,5,9,0,0,1,5,5,1,9,2,0,0,0,1,0,0,0.264,0.324,0.422,0.746,10,10,R,C.Bassitt(34),2024-07-04,1,astros
88,Jul 5,False,MIN,"W,13-12",51,41,13,16,2,0,1,13,5,0,9,3,0,2,1,0,0,0,0.265,0.326,0.423,0.749,11,11,R,P.López(31),2024-07-05,1,astros
89,Jul 6,False,MIN,"L,3-9",36,34,3,7,3,0,1,3,1,0,12,1,0,0,0,0,0,0,0.265,0.325,0.423,0.748,6,11,R,J.Ryan(54),2024-07-06,1,astros
90,Jul 7,False,MIN,"L,2-3",35,31,2,5,1,0,0,2,3,0,7,0,0,1,0,0,0,0,0.264,0.324,0.42,0.745,6,13,R,S.Woods Richardson(60),2024-07-07,1,astros
91,Jul 9,True,MIA,"W,4-3",33,31,4,7,2,0,1,4,2,0,8,0,0,0,1,1,2,0,0.263,0.324,0.42,0.744,5,9,L,T.Rogers(51),2024-07-09,1,astros
92,Jul 10,True,MIA,"W,9-1",39,37,9,13,2,1,1,9,2,0,7,0,0,0,0,0,3,0,0.264,0.324,0.421,0.746,6,12,R,B.Hoeing(25),2024-07-10,1,astros
93,Jul 11,True,MIA,"W,6-3",34,29,6,5,3,0,0,6,2,0,4,1,0,2,1,0,0,0,0.263,0.324,0.42,0.744,4,10,R,R.Muñoz(44),2024-07-11,1,astros
94,Jul 12,True,TEX,"W,6-3",36,33,6,9,1,0,3,6,3,0,5,0,0,0,1,1,0,0,0.263,0.324,0.422,0.745,6,9,L,A.Heaney(50),2024-07-12,1,astros
95,Jul 13,True,TEX,"L,1-2",40,38,1,9,0,0,0,1,1,1,11,1,0,0,0,1,0,0,0.263,0.323,0.42,0.743,10,12,R,N.Eovaldi(64),2024-07-13,1,astros
96,Jul 14,True,TEX,"L,2-4",36,34,2,6,0,0,1,2,2,0,9,0,0,0,1,0,1,0,0.262,0.322,0.418,0.74,7,10,R,M.Scherzer(55),2024-07-14,1,astros
97,Jul 19,False,SEA,"W,3-0",35,32,3,6,1,0,0,2,2,0,8,1,0,0,1,2,0,0,0.262,0.322,0.416,0.738,5,9,R,L.Castillo(55),2024-07-19,1,astros
98,Jul 20,False,SEA,"W,4-2",35,33,4,7,1,0,2,4,1,0,11,1,0,0,0,0,1,1,0.261,0.321,0.416,0.737,4,9,R,G.Kirby(66),2024-07-20,1,astros
99,Jul 21,False,SEA,"L,4-6",36,35,4,9,2,1,2,4,1,1,11,0,0,0,0,1,0,0,0.261,0.321,0.417,0.738,5,11,R,B.Woo(58),2024-07-21,1,astros
100,Jul 22,False,OAK,"L,0-4",35,32,0,8,1,0,0,0,2,0,9,0,1,0,1,3,0,0,0.261,0.32,0.416,0.736,8,10,L,H.Harris(65),2024-07-22,1,astros
101,Jul 23,False,OAK,"L,2-8",36,35,2,9,3,0,2,2,0,0,9,1,0,0,0,0,1,0,0.261,0.32,0.417,0.737,7,11,R,O.Bido(61),2024-07-23,1,astros
102,Jul 24,False,OAK,"W,8-1",40,35,8,11,4,0,1,8,1,0,6,2,0,2,2,1,0,1,0.261,0.32,0.418,0.738,5,9,L,J.Sears(27),2024-07-24,1,astros
103,Jul 26,True,LAD,"W,5-0",36,34,5,11,3,0,2,5,2,0,5,0,0,0,0,0,0,0,0.262,0.321,0.42,0.74,7,10,R,G.Stone(39),2024-07-26,1,astros
104,Jul 27,True,LAD,"W,7-6",38,35,7,12,0,1,1,7,2,0,5,1,0,0,0,0,0,1,0.263,0.321,0.42,0.742,7,12,L,J.Wrobleski(54),2024-07-27,1,astros
105,Jul 28,True,LAD,"L,2-6",33,30,2,4,3,0,1,2,3,0,11,0,0,0,0,1,0,0,0.262,0.32,0.42,0.74,4,9,R,R.Ryan(66),2024-07-28,1,astros
106,Jul 29,True,PIT,"L,3-5",40,33,3,9,1,0,0,2,6,0,8,1,0,0,1,2,0,0,0.262,0.321,0.419,0.74,10,11,R,P.Skenes(59),2024-07-29,1,astros
107,Jul 30,True,PIT,"L,2-6",37,36,2,10,0,0,1,2,1,0,7,0,0,0,0,1,0,0,0.262,0.321,0.418,0.739,8,11,L,B.Falter(53),2024-07-30,1,astros
108,Jul 31,True,PIT,"W,5-4",32,29,5,4,1,0,1,3,1,0,5,1,1,0,2,0,0,0,0.261,0.32,0.417,0.737,3,11,R,J.Woodford(60),2024-07-31,1,astros
109,Aug 2,True,TBR,"W,3-2",35,33,3,10,3,0,0,2,1,0,7,0,0,1,0,0,1,0,0.261,0.32,0.417,0.737,8,10,R,S.Baz(52),2024-08-02,1,astros
110,Aug 3,True,TBR,"L,1-6",31,30,1,5,1,0,1,1,1,0,7,0,0,0,0,1,0,0,0.261,0.319,0.416,0.735,3,9,R,Z.Littell(59),2024-08-03,1,astros
111,Aug 4,True,TBR,"L,0-1",33,30,0,3,0,0,0,0,3,0,12,0,0,0,0,0,1,0,0.259,0.318,0.413,0.731,6,12,R,H.Bigge(49),2024-08-04,1,astros
112,Aug 5,False,TEX,"L,3-4",43,33,3,4,0,0,1,3,6,2,12,3,1,0,0,0,0,0,0.258,0.318,0.412,0.729,11,12,L,A.Heaney(69),2024-08-05,1,astros
113,Aug 6,False,TEX,"W,4-2",41,37,4,11,1,0,1,4,4,0,4,0,0,0,0,1,0,0,0.259,0.318,0.411,0.73,10,10,R,T.Mahle(54),2024-08-06,1,astros
114,Aug 7,False,TEX,"W,6-4",43,37,6,13,2,0,2,6,5,0,4,1,0,0,0,3,0,0,0.259,0.32,0.413,0.732,10,10,R,J.Ureña(39),2024-08-07,1,astros
115,Aug 9,False,BOS,"W,8-4",45,41,8,16,2,1,2,7,3,1,4,1,0,0,1,3,0,0,0.261,0.321,0.415,0.736,10,10,R,T.Houck(58),2024-08-09,1,astros
116,Aug 10,False,BOS,"W,5-4",39,37,5,10,0,0,4,5,2,0,9,0,0,0,0,0,0,0,0.261,0.321,0.417,0.738,7,10,R,J.Winckowski(52),2024-08-10,1,astros
117,Aug 11,False,BOS,"W,10-2",44,39,10,13,3,0,3,9,4,1,8,1,0,0,0,2,1,0,0.262,0.322,0.419,0.741,7,11,L,J.Paxton(48),2024-08-11,1,astros
118,Aug 12,False,TBR,"W,6-1",39,36,6,10,1,0,2,6,2,0,11,1,0,0,0,1,0,0,0.262,0.322,0.42,0.741,6,9,R,T.Bradley(27),2024-08-12,1,astros
119,Aug 13,False,TBR,"W,3-2",38,36,3,9,1,0,2,3,2,0,9,0,0,0,0,1,0,0,0.262,0.321,0.42,0.741,8,9,R,S.Baz(55),2024-08-13,1,astros
